scraped_at_utc,product_name,input_name,product_url,source_domain,currency,mrp,discounted_price,displayed_discount_percent,computed_discount_percent,fake_discount_flag,analysis_note
2026-04-17T09:21:36.591321+00:00,"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel","Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",https://www.amazon.in/dp/B0CCM8L54V,www.amazon.in,INR,1299.0,269.0,79.0,79.29,False,discount_consistent
2026-04-17T09:21:41.340370+00:00,Amazon Brand - Presto! Garbage Bags | Large | 90 Count | 15 Bags X 6 Rolls | 24 X 32 Inches | For Dry & Wet Waste | Black,Amazon Brand - Presto! Garbage Bags | Large | 90 Count | 15 Bags X 6 Rolls | 24 X 32 Inches | For Dry & Wet Waste | Black,https://www.amazon.in/dp/B0821PYKVK,www.amazon.in,INR,480.0,369.0,23.0,23.12,False,discount_consistent
2026-04-17T09:21:46.262105+00:00,"PEXPO Water Bottle 1 ltr Go24 Stainless Steel Sports/Fridge Bottle with Sipper Cap | Single Wall | For Home, Office, Gym, Travelling | Lightweight | BPA Free | Craft Pro 950ml | Grey - Black Ombre","PEXPO Water Bottle 1 ltr Go24 Stainless Steel Sports/Fridge Bottle with Sipper Cap | Single Wall | For Home, Office, Gym, Travelling | Lightweight | BPA Free | Craft Pro 950ml | Grey - Black Ombre",https://www.amazon.in/dp/B0DRCT1MTK,www.amazon.in,INR,649.0,297.0,54.0,54.24,False,discount_consistent
2026-04-17T14:59:36.769006+00:00,"REDMI A7 Pro 5G (Mist Blue, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display","REDMI A7 Pro 5G (Mist Blue, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",https://www.amazon.in/dp/B0GS5Y6BD3,www.amazon.in,INR,16999.0,12499.0,26.0,26.47,False,discount_consistent
2026-04-17T14:59:42.509112+00:00,"iQOO Z10 Lite 5G (Titanium Blue, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*","iQOO Z10 Lite 5G (Titanium Blue, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*",https://www.amazon.in/dp/B0FC5TDB9P,www.amazon.in,INR,26999.0,14998.0,,44.45,False,displayed_discount_missing
2026-04-17T14:59:47.993507+00:00,Fujifilm Instax Mini Picture Format Film (20 Shots),Fujifilm Instax Mini Picture Format Film (20 Shots),https://www.amazon.in/dp/B0000C73CQ,www.amazon.in,INR,2999.0,1399.0,,53.35,False,displayed_discount_missing
2026-04-17T14:59:53.743829+00:00,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black","OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black",https://www.amazon.in/dp/B0FMDL81GS,www.amazon.in,INR,2099.0,1999.0,,4.76,False,displayed_discount_missing
2026-04-17T14:59:59.596632+00:00,"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)","Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",https://www.amazon.in/dp/B0DDHM6D3L,www.amazon.in,INR,799.0,322.0,60.0,59.7,False,discount_consistent
2026-04-17T15:00:11.802418+00:00,"iQOO Z11x 5G (Prismatic Green, 6GB RAM, 128 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery Smartphone | Powered by OriginOS 6","iQOO Z11x 5G (Prismatic Green, 6GB RAM, 128 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery Smartphone | Powered by OriginOS 6",https://www.amazon.in/dp/B0GP7LM2LN,www.amazon.in,INR,28999.0,18998.0,34.0,34.49,False,discount_consistent
2026-04-17T15:00:17.425783+00:00,"OnePlus Bullets Wireless Z3 in-Ear Neckband with 12.4mm Drivers, 3D Spatial Audio,10 mins Charge for 27 hrs Playback, 4 EQ preset, Dynamic bass Enhancement & BT5.4","OnePlus Bullets Wireless Z3 in-Ear Neckband with 12.4mm Drivers, 3D Spatial Audio,10 mins Charge for 27 hrs Playback, 4 EQ preset, Dynamic bass Enhancement & BT5.4",https://www.amazon.in/dp/B0FBRGKXHG,www.amazon.in,INR,1999.0,1799.0,10.0,10.01,False,discount_consistent
2026-04-17T15:00:23.171857+00:00,"Samsung Original 25W USB Type-C Travel Adaptor Without Cable for Google Pixel, Xiaomi, Motorola, iPhone, Samsung Galaxy Tab S/A Series, Galaxy S10/M54/M55/A80/A90/S25/S24, White","Samsung Original 25W USB Type-C Travel Adaptor Without Cable for Google Pixel, Xiaomi, Motorola, iPhone, Samsung Galaxy Tab S/A Series, Galaxy S10/M54/M55/A80/A90/S25/S24, White",https://www.amazon.in/dp/B0D2R2MXXJ,www.amazon.in,INR,1699.0,799.0,53.0,52.97,False,discount_consistent
2026-04-17T15:00:28.846623+00:00,"Samsung Galaxy M17 5G Mobile (Sapphire Black, 6GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-Free Gaming | Without Charger","Samsung Galaxy M17 5G Mobile (Sapphire Black, 6GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-Free Gaming | Without Charger",https://www.amazon.in/dp/B0FN7WCV5Y,www.amazon.in,INR,19499.0,15498.0,21.0,20.52,False,discount_consistent
2026-04-17T15:00:34.876126+00:00,Amazon Brand - Presto! Garbage Bags | Medium | 180 Count | 30 Bags X 6 Rolls | 19 X 21 Inches | For Dry & Wet Waste | Black,Amazon Brand - Presto! Garbage Bags | Medium | 180 Count | 30 Bags X 6 Rolls | 19 X 21 Inches | For Dry & Wet Waste | Black,https://www.amazon.in/dp/B0821PN8L4,www.amazon.in,INR,458.0,385.0,16.0,15.94,False,discount_consistent
2026-04-17T15:00:51.457930+00:00,"ATOM ALISTON K1 Series Digital Kitchen Weighing Scale 10 kg, Electronic Weight Machine with LCD Display for Baking, Cooking, Food & Diet, SF-400/A121. 6Months Warranty (Colour May Vary)","ATOM ALISTON K1 Series Digital Kitchen Weighing Scale 10 kg, Electronic Weight Machine with LCD Display for Baking, Cooking, Food & Diet, SF-400/A121. 6Months Warranty (Colour May Vary)",https://www.amazon.in/dp/B083C6XMKQ,www.amazon.in,INR,599.0,208.0,65.0,65.28,False,discount_consistent
2026-04-17T15:00:57.147639+00:00,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warranty","NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warranty",https://www.amazon.in/dp/B09J2T124D,www.amazon.in,INR,5000.0,1599.0,68.0,68.02,False,discount_consistent
2026-04-17T15:01:02.896251+00:00,"Trance 100% Waterproof Premium Cotton Feel Mattress Protector King Size 78x72 Inches | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector Cover (78""x72"" King, Grey)","Trance 100% Waterproof Premium Cotton Feel Mattress Protector King Size 78x72 Inches | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector Cover (78""x72"" King, Grey)",https://www.amazon.in/dp/B01A57IV58,www.amazon.in,INR,1217.0,595.0,51.0,51.11,False,discount_consistent
2026-04-17T15:01:09.086157+00:00,"Ezee Live Life Ezee Way Black Garbage Bags for Dustbin|90 Pcs|Medium 19 X 21 Inches|30 Pcs X Pack of 3, 3 count","Ezee Live Life Ezee Way Black Garbage Bags for Dustbin|90 Pcs|Medium 19 X 21 Inches|30 Pcs X Pack of 3, 3 count",https://www.amazon.in/dp/B06VX8YR6Q,www.amazon.in,INR,216.0,169.0,22.0,21.76,False,discount_consistent
2026-04-17T15:01:14.793205+00:00,"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel","Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",https://www.amazon.in/dp/B0CCM8L54V,www.amazon.in,INR,1299.0,269.0,79.0,79.29,False,discount_consistent
2026-04-17T15:01:20.700294+00:00,Amazon Brand - Presto! Garbage Bags | Large | 90 Count | 15 Bags X 6 Rolls | 24 X 32 Inches | For Dry & Wet Waste | Black,Amazon Brand - Presto! Garbage Bags | Large | 90 Count | 15 Bags X 6 Rolls | 24 X 32 Inches | For Dry & Wet Waste | Black,https://www.amazon.in/dp/B0821PYKVK,www.amazon.in,INR,480.0,369.0,23.0,23.12,False,discount_consistent
2026-04-17T15:01:26.578597+00:00,"PEXPO Water Bottle 1 ltr Go24 Stainless Steel Sports/Fridge Bottle with Sipper Cap | Single Wall | For Home, Office, Gym, Travelling | Lightweight | BPA Free | Craft Pro 950ml | Grey - Black Ombre","PEXPO Water Bottle 1 ltr Go24 Stainless Steel Sports/Fridge Bottle with Sipper Cap | Single Wall | For Home, Office, Gym, Travelling | Lightweight | BPA Free | Craft Pro 950ml | Grey - Black Ombre",https://www.amazon.in/dp/B0DRCT1MTK,www.amazon.in,INR,649.0,297.0,54.0,54.24,False,discount_consistent
